year,emissions_gtc,emissions_ppm,emissions_fossil_excl_cement_gtc,emissions_fossil_excl_cement_ppm,emissions_fossil_cement_gtc,emissions_fossil_cement_ppm,emissions_fossil_cement_luc_gtc,emissions_fossil_cement_luc_ppm,observed_law_dome_instrumental_spliced_ppm,observed_noaa_global_ppm,observed_noaa_mauna_loa_ppm
1900,1.751896909090909,0.8248102208525936,0.5349518181818181,0.2518605546995377,0.5353322727272727,0.2520396764252696,1.751896909090909,0.8248102208525936,296.3666666666667,,
1901,1.8030207272727274,0.8488798151001541,0.5519899090909092,0.2598822547508988,0.5524442727272728,0.26009617360041093,1.8030207272727274,0.8488798151001541,296.3666666666666,,
1902,1.8285572727272725,0.860902670775552,0.565854,0.26640960451977397,0.5664425454545454,0.26668669748330764,1.8285572727272725,0.860902670775552,295.7,,
1903,1.8893702727272728,0.8895340267077555,0.6169208181818181,0.2904523626091422,0.6176157272727272,0.2907795326142783,1.8893702727272728,0.8895340267077555,295.05,,
1904,1.9255442727272727,0.9065651001540831,0.623365090909091,0.2934863893168978,0.6241148181818181,0.29383936825885976,1.9255442727272727,0.9065651001540831,295.1,,
1905,1.975223181818182,0.9299544170518748,0.664112181818182,0.31267051874678997,0.6650700000000002,0.31312146892655374,1.975223181818182,0.9299544170518748,298.6499999999999,,
1906,2.0231888181818185,0.9525371083718542,0.6933692727272728,0.3264450436569081,0.6945957272727273,0.32702247046738575,2.0231888181818185,0.9525371083718542,296.9,,
1907,2.120941363636364,0.9985599640472522,0.7904361818181818,0.3721450950179763,0.791698909090909,0.37273959938366713,2.120941363636364,0.9985599640472522,299.1333333333333,,
1908,2.1026997272727272,0.9899716230097585,0.759201,0.35743926553672317,0.7605166363636364,0.3580586800205444,2.1026997272727272,0.9899716230097585,299.76666666666665,,
1909,2.155759363636364,1.0149526194144838,0.7905556363636365,0.3722013353877761,0.7922083636363637,0.3729794555726759,2.155759363636364,1.0149526194144838,300.4,,
1910,2.1398402727272727,1.007457755521315,0.8293208181818181,0.39045236260914223,0.8312525454545455,0.3913618387262455,2.1398402727272727,1.007457755521315,299.59999999999997,,
1911,2.143787181818182,1.0093159989727787,0.8420937272727272,0.3964659732922444,0.8440731818181817,0.39739791987673334,2.143787181818182,1.0093159989727787,298.79999999999995,,
1912,2.159695090909091,1.016805598356446,0.884714181818182,0.4165321006676939,0.8867948181818183,0.4175116846430406,2.159695090909091,1.016805598356446,299.16666666666663,,
1913,2.2207344545454544,1.0455435285053927,0.9583388181818181,0.45119530046224954,0.9606613636363636,0.45228877760657415,2.2207344545454544,1.0455435285053927,300.7,,
1914,2.133325090909091,1.0043903441191577,0.8692813636363638,0.40926617873651777,0.8714934545454546,0.4103076527991782,2.133325090909091,1.0043903441191577,300.0,,
